beta_manual,beta_acclka,sigma_z_manual,sigma_z_acclka,lambda_manual,lambda_acclka,gamma_manual__1,gamma_Z_manual__3,gamma_Z_manual__4,gamma_Z_manual__10,gamma_Z_manual__11,gamma_Z_manual__13,gamma_Z_manual__14,gamma_Z_manual__17,gamma_Z_acclka__2,gamma_Z_acclka__3,gamma_Z_acclka__5,gamma_Z_acclka__6,gamma_Z_acclka__7,gamma_Z_acclka__8,gamma_Z_acclka__9,gamma_Z_acclka__11,gamma_Z_acclka__12,gamma_Z_acclka__14,gamma_Z_acclka__15,gamma_Z_acclka__16
4.52377,4.34535,2.12830,0.46182,1.60268,1.45357,1.73790,-2.04449,-4.82769,3.51314,-0.76775,5.25313,1.20432,1.25804,0.14046,0.20847,0.32097,-0.41531,-0.10228,0.57394,0.59113,-0.68137,-0.25827,-0.48711,-0.79684,-0.34756
3.48751,7.79220,1.84552,1.35419,1.68849,1.49690,-1.77138,-2.36907,-3.97348,-1.13608,0.67808,-1.50095,-0.44090,-2.18777,1.25451,0.99080,-1.70525,-0.21111,2.36336,0.01017,-3.58939,0.80729,2.25616,0.83366,0.48663,1.58333
1.01090,5.67361,1.09991,0.11730,1.57172,1.44517,1.78681,1.44363,-1.29816,0.70384,-0.09545,0.72152,0.52816,0.63570,-0.12193,-0.09597,0.06855,0.12884,-0.15454,-0.09092,0.33551,-0.01732,-0.17676,-0.02028,-0.07292,-0.05165
1.17683,10.06009,0.83317,0.41617,1.61916,1.41642,0.16287,0.16394,-1.01078,0.80115,-0.75968,1.29316,0.72105,-0.59808,0.41140,0.01828,0.63140,-0.21276,-0.19560,-0.38483,-0.13866,-0.14286,-0.18094,-0.26429,0.16835,0.12132
1.05412,13.80448,0.83523,0.26963,1.65294,1.48342,-0.12932,0.35126,-1.17602,0.21782,-0.51146,0.32744,0.23377,-0.68230,-0.12676,-0.13101,-0.48298,0.17582,-0.03770,0.61388,-0.49437,0.07288,0.04458,-0.13657,-0.04113,0.30555
4.64838,4.68883,2.20191,0.53586,1.63826,1.44247,2.29954,-0.20665,-4.82119,3.66354,-0.40620,-1.35965,-0.49231,4.33854,0.23410,-0.27669,0.64881,-0.29039,-0.21050,-1.15528,1.00303,-0.14795,-0.15237,0.27208,0.11450,-0.44771
1.65577,4.32873,1.37967,0.15605,1.56508,1.47465,2.56572,0.07977,-1.64516,-1.98781,1.83803,0.86599,-0.10217,0.16408,-0.16190,0.36960,-0.10458,-0.09668,0.18088,-0.14060,-0.37150,0.05796,0.22112,-0.21110,-0.23439,0.07478
0.56342,7.98571,0.77112,2.19054,1.75111,1.47620,0.81548,-0.63475,-0.69557,1.03972,0.07787,-0.34378,0.74099,0.88584,0.76792,2.09516,2.42295,-0.29591,-2.47488,3.85958,0.72411,-2.05737,2.76973,0.31300,-0.51980,-0.16908
3.76388,3.09407,1.73289,0.34038,1.51261,1.49231,1.78968,-3.20945,-3.97033,2.46699,-2.31160,0.50156,1.09795,-1.90933,-0.31087,-0.32491,-0.32026,-0.17311,0.13429,-0.15173,0.04860,-0.16460,0.15217,0.66833,-0.09059,-0.45326
0.83558,4.39852,1.71503,1.73408,1.77250,1.44573,1.25881,-0.16589,-1.30104,0.77959,0.07826,-0.18548,-0.19732,0.04065,-0.39730,1.17620,-0.62878,-1.18617,2.95669,-0.68868,0.97369,-0.35234,1.31159,4.79706,2.03752,0.07955
1.16304,2.90704,3.55629,0.94880,1.75509,1.44636,2.24100,-2.13299,-1.60023,2.30883,1.08089,-0.15090,3.10889,0.51672,-0.68886,-0.01945,-0.18358,-0.37114,1.01227,-1.16149,0.15580,0.01592,0.64124,2.43800,0.95807,0.18465
1.12399,6.94146,0.88894,0.53491,1.58333,1.48598,0.81923,0.56176,-1.39466,-1.04636,-0.43946,-0.06105,-0.60897,-0.02632,0.28935,-0.07552,0.14934,0.09744,-0.41546,0.63863,0.15173,-0.07303,-0.46079,-1.26243,-0.27336,-0.09572
3.27258,3.94231,2.02043,1.18330,1.69919,1.41331,0.17189,-0.46161,-3.36416,0.79878,-0.67363,-2.72907,2.82904,1.62894,-0.78949,0.75116,-1.04677,1.53566,1.25181,-0.16693,-0.59213,2.11432,1.72421,1.43465,-0.29554,2.05656
1.76520,10.23072,0.60785,0.49464,1.56777,1.45415,0.77591,0.27529,-1.89415,-1.21384,0.18194,0.09430,-0.62431,1.25781,-0.09632,-0.47194,-0.14731,0.90028,0.36049,0.75137,-0.47766,0.07576,0.57624,-0.73780,0.15007,-0.31514
1.94756,5.75285,2.91608,0.28338,1.76328,1.45662,1.49830,-1.49184,-2.16545,3.50711,1.05209,2.38719,5.30514,4.07814,-0.05180,0.51943,0.16562,-0.56657,0.04363,-0.04365,0.14321,0.14926,-0.37946,0.31826,0.06723,0.37365
1.59658,12.99384,0.55050,0.74158,1.54828,1.49694,0.36277,0.50679,-1.95329,-0.76793,-0.23211,-0.76034,-0.62180,-0.31067,0.16197,-0.70182,-0.35148,1.93842,0.23844,0.78681,-0.33157,-0.87120,0.87635,-1.24309,-0.11565,-1.37517
-0.01918,4.68683,3.65687,1.28325,1.76594,1.43869,1.85669,-0.28719,-0.47584,2.75800,1.61896,1.76962,6.17801,3.19132,-0.37156,0.91214,0.61291,-2.65775,-1.04664,0.06652,0.90531,1.48033,0.22293,2.41407,0.75743,3.74037
1.31314,4.91849,0.51410,0.03072,1.51650,1.49448,0.50001,0.36866,-1.59075,-0.37531,-0.19267,-0.45435,-0.41059,0.32336,-0.00305,-0.02260,-0.00419,0.06590,0.01946,0.02092,0.00630,-0.01725,-0.01600,-0.00883,-0.02867,-0.04894
0.67490,11.31835,0.74215,2.02710,1.75265,1.42639,1.78332,-0.24446,-0.29606,0.08033,-0.02066,-0.69815,0.47346,-0.65301,0.98797,1.68420,-0.06298,1.29172,-0.95890,-1.76740,2.71232,-3.79786,1.27481,-4.99343,0.92759,-1.54331
2.78567,9.50017,1.25199,0.22303,1.55230,1.44159,2.10963,1.19606,-3.05593,-0.46371,0.10368,0.24623,0.57370,2.47983,-0.06694,-0.07020,-0.00181,-0.30684,-0.20226,0.50860,-0.17597,0.06257,0.31580,0.40234,-0.07358,0.33866
2.12322,9.45270,2.16339,0.36262,1.69695,1.45201,-0.74418,-0.29130,-2.62944,-1.22791,-1.94228,-0.44874,2.61319,-0.66907,0.03524,-0.15453,-0.13946,-0.01546,-0.72658,-0.10668,-0.31822,-0.34531,-0.64414,0.35373,0.03989,0.25046
