beta_manual,beta_acclka,sigma_z_manual,sigma_z_acclka,phi_manual,phi_acclka,gamma_manual__1,gamma_manual__3,gamma_manual__4,gamma_manual__10,gamma_manual__11,gamma_manual__13,gamma_manual__14,gamma_manual__17,gamma_acclka__2,gamma_acclka__3,gamma_acclka__5,gamma_acclka__6,gamma_acclka__7,gamma_acclka__8,gamma_acclka__9,gamma_acclka__11,gamma_acclka__12,gamma_acclka__14,gamma_acclka__15,gamma_acclka__16
0.12412,-0.05902,0.31863,0.12876,15.48235,14.31029,0.01096,-0.28257,-0.37065,-0.47945,-0.33334,-0.07617,-0.01050,-0.05055,-0.00448,-0.08115,0.01697,-0.11157,-0.12434,0.04225,0.00549,-0.15717,0.10504,0.14234,0.05715,-0.03648
0.10665,-0.08014,0.34071,0.08365,14.32171,15.66259,0.03509,0.01882,-0.41998,-0.29561,-0.37408,-0.11631,0.04145,-0.00862,0.08741,-0.02025,-0.01890,-0.07734,-0.14633,-0.05173,-0.00744,0.06285,0.12416,0.14749,-0.01916,0.08456
0.15524,-0.00794,0.27678,0.13584,13.68881,14.74359,-0.07493,-0.42569,-0.34990,-0.28586,-0.28924,-0.13261,0.05980,-0.02994,-0.15729,-0.15762,-0.10058,-0.12038,-0.21678,-0.02858,0.10822,-0.04324,0.00793,0.06000,-0.05437,-0.20828
-0.07786,-0.03901,0.15297,0.10856,17.40831,15.68857,0.07944,0.29074,-0.15856,-0.21626,-0.11368,0.05234,0.14055,0.22135,0.09910,-0.04776,-0.01855,-0.11371,-0.18533,-0.11906,-0.04629,0.01521,0.13671,0.11688,-0.00909,0.04434
-0.07854,-0.05072,0.12895,0.09349,16.31886,14.63509,0.09774,0.08678,-0.14468,-0.15567,-0.07832,0.18909,0.14542,0.23389,0.07371,-0.06183,-0.06149,-0.12407,-0.15930,-0.05774,-0.11356,0.01149,0.06854,0.17844,-0.05767,0.06514
0.10356,-0.11649,0.42255,0.09569,15.82723,15.19409,-0.06351,0.04291,-0.22025,-0.22064,-0.11188,-0.33827,-0.09645,-0.07060,0.06393,0.04247,0.08006,-0.06489,-0.07772,0.00710,0.19972,0.07456,-0.05836,0.05483,0.03683,-0.14539
0.05232,-0.08098,0.13553,0.08564,15.35730,14.92702,-0.04044,0.06247,-0.19893,-0.20825,-0.11864,0.09494,0.01991,0.01385,-0.04045,-0.08527,-0.04678,-0.07812,-0.12408,-0.01223,-0.06866,0.02365,0.31093,0.25309,-0.00113,-0.09508
0.14706,-0.06748,0.28953,0.09749,15.75788,15.53829,-0.07630,-0.08153,-0.35356,-0.41092,-0.26048,-0.06291,-0.06859,0.05481,0.01951,-0.10095,0.02092,-0.12766,-0.14516,-0.08108,-0.05972,-0.06628,0.17702,0.16447,0.00387,-0.05163
0.05376,-0.07163,0.31765,0.11923,14.47832,14.48448,0.01866,-0.18885,-0.27181,-0.20608,-0.23020,0.16171,0.04085,0.00144,0.01484,0.00399,-0.03222,-0.11786,-0.11943,-0.08799,0.10092,0.03434,-0.00235,0.14996,0.07518,-0.00748
0.01636,-0.09975,0.22561,0.10302,15.40682,14.14683,-0.00933,-0.14931,-0.15894,-0.24342,-0.12325,0.05021,0.07231,0.11494,0.08309,-0.07672,0.02910,-0.07177,-0.11120,-0.03751,0.07938,0.02669,-0.00375,0.27193,0.00466,-0.07488
-0.07571,-0.02690,0.12242,0.15523,11.66157,16.03577,0.08226,-0.09992,-0.02912,-0.10641,-0.03402,-0.03433,0.13244,0.17103,0.00240,-0.13200,-0.05155,-0.11429,-0.16898,-0.04060,0.03117,-0.06066,0.00117,0.20777,-0.05784,0.07957
-0.05695,-0.06353,0.17782,0.11993,15.23968,15.13503,0.07819,-0.27394,-0.10436,-0.00464,0.03764,0.04218,0.18106,0.12451,0.00714,-0.02262,-0.01742,-0.14451,-0.15179,-0.05473,0.04163,0.09192,0.15350,0.05496,0.02179,-0.00972
-0.07435,-0.06331,0.11729,0.08980,14.48038,14.49643,0.06849,-0.01766,-0.02221,-0.06461,-0.05173,0.05495,0.15011,0.14711,0.01785,0.00250,0.01611,-0.06873,-0.14784,-0.00252,0.08173,0.05013,0.11289,0.12046,0.07263,0.07945
-0.05989,-0.09525,0.13379,0.09158,14.78651,14.20386,0.05892,0.07198,-0.15137,-0.11087,-0.07241,0.00171,0.08324,0.11968,-0.05212,-0.06083,0.07936,-0.12042,-0.07355,-0.00601,-0.00859,-0.02853,0.07279,0.20425,-0.05500,-0.07865
-0.01801,-0.09257,0.15332,0.08418,14.30233,14.99856,-0.00507,0.20488,-0.19541,-0.12279,0.02192,-0.05205,0.15091,0.15492,-0.01260,-0.08521,0.08107,-0.10630,-0.10506,-0.00505,0.04231,0.06890,0.11218,0.21149,-0.00396,-0.01374
-0.09645,-0.10277,0.13844,0.08882,13.00138,15.11269,0.12591,0.27248,-0.13399,-0.08741,-0.04133,-0.00506,0.15270,0.12257,0.05294,-0.08905,0.05397,-0.10173,-0.10351,-0.02137,-0.01102,0.05481,0.16356,0.22700,0.02101,-0.00599
-0.16134,-0.08585,0.09427,0.13875,16.03695,14.67813,0.09776,-0.11097,0.01459,-0.04414,0.03142,0.14482,0.23055,0.21203,-0.03754,-0.01891,-0.07402,-0.13662,-0.12598,-0.00237,0.19063,0.05917,0.04934,0.15120,0.02531,-0.01144
-0.14519,0.00100,0.06630,0.14749,13.93421,15.32227,0.07107,0.10438,-0.00672,-0.00672,-0.05317,0.03472,0.11348,0.19861,0.01968,-0.15373,-0.03780,-0.19710,-0.18832,-0.12714,-0.13340,-0.05627,0.16313,0.12961,-0.04763,-0.04311
-0.13376,-0.04299,0.15410,0.17336,14.77056,14.91402,0.07106,0.04063,-0.03987,-0.02748,-0.13885,0.11892,0.23408,0.25593,-0.01061,-0.04965,-0.09044,-0.19065,-0.17407,-0.01393,0.05380,0.01873,0.12499,0.17561,-0.05777,-0.13053
0.08829,-0.09369,0.27916,0.14099,14.40869,15.37961,-0.14277,-0.13755,-0.27621,-0.32998,-0.06964,-0.12037,0.03909,0.03216,0.14069,-0.01400,-0.06521,-0.06210,-0.14775,0.01431,-0.05486,-0.02674,0.14075,0.20818,-0.01068,-0.02168
0.10854,-0.06596,0.27231,0.15115,14.17792,15.44302,-0.07125,-0.41317,-0.29605,-0.24915,-0.26407,0.13225,-0.03358,0.04462,0.15199,-0.06093,-0.03068,-0.09832,-0.10153,-0.02324,-0.04541,-0.07265,0.20836,0.14518,-0.05112,-0.10869
0.09262,-0.06660,0.24948,0.15850,13.84735,15.03816,-0.07916,-0.21956,-0.33399,-0.31900,-0.24032,0.08164,0.11252,0.02141,0.13593,-0.20695,-0.03125,-0.11182,-0.14958,-0.02805,-0.04249,0.01176,0.28072,0.19586,0.04603,-0.04129
-0.09641,-0.08377,0.24629,0.06779,15.83689,14.69261,0.10513,0.14723,-0.06672,-0.06661,-0.10240,0.04695,0.24652,0.15145,-0.02295,0.01040,0.01291,-0.10852,-0.10943,0.00836,0.09667,-0.04721,0.02405,0.16937,-0.02331,-0.02476
-0.20001,-0.08187,0.32511,0.15486,15.59850,15.08329,0.19069,-0.04070,-0.12099,-0.12916,0.02426,-0.20063,0.25452,0.32690,0.22405,-0.05325,0.06413,-0.08444,-0.12975,-0.03820,-0.02908,-0.06747,0.07207,0.11472,0.04229,-0.14249
-0.13257,-0.06033,0.26551,0.13398,14.63237,15.44527,0.08869,0.26372,-0.03378,-0.00815,-0.06368,0.12760,0.29626,0.15384,-0.02544,-0.11962,-0.05046,-0.12308,-0.14758,0.01471,0.11833,0.18195,0.24483,0.15047,0.00171,-0.11105
-0.09928,-0.05960,0.19069,0.10886,15.23544,14.76150,0.04400,-0.12378,-0.14214,-0.15002,0.05535,-0.01770,0.18580,0.11306,0.05248,-0.00316,0.02365,-0.12101,-0.14354,-0.10208,-0.00021,-0.09208,-0.02641,0.23458,-0.01660,-0.03720
-0.02691,-0.03205,0.20324,0.12146,14.51184,14.65390,0.02179,-0.03703,-0.24773,-0.20020,-0.11602,0.05020,0.22109,0.08246,-0.08325,-0.12489,-0.11597,-0.12693,-0.16548,0.00290,-0.00167,0.11733,0.12539,0.04160,-0.00038,-0.16486
-0.02092,0.00872,0.44510,0.10960,14.61036,15.08899,-0.00226,0.49554,-0.31626,-0.18652,-0.18064,0.15893,0.04136,0.07741,0.00900,-0.07671,-0.02349,-0.17684,-0.21917,-0.16744,-0.02310,-0.09089,-0.01799,0.18841,-0.04519,-0.09512
-0.12365,-0.04664,0.12706,0.10558,15.80135,15.23056,0.13182,-0.16606,-0.21935,-0.12140,-0.07574,-0.00040,0.27778,0.17916,-0.00602,-0.07054,-0.04446,-0.14243,-0.15808,0.11308,0.09734,0.10882,0.15808,0.14303,-0.00569,0.05914
