beta_manual,beta_acclka,sigma_z_manual,sigma_z_acclka,sigma_manual,sigma_acclka,gamma_manual__1,gamma_manual__3,gamma_manual__4,gamma_manual__10,gamma_manual__11,gamma_manual__13,gamma_manual__14,gamma_manual__17,gamma_acclka__2,gamma_acclka__3,gamma_acclka__5,gamma_acclka__6,gamma_acclka__7,gamma_acclka__8,gamma_acclka__9,gamma_acclka__11,gamma_acclka__12,gamma_acclka__14,gamma_acclka__15,gamma_acclka__16
1.97061,2.02545,0.03374,0.05872,0.50229,0.46738,-0.01648,0.03554,0.02476,-0.00971,-0.00879,0.02295,0.02562,-0.00911,-0.05001,-0.00508,0.04824,0.03826,0.03860,0.02973,-0.05059,0.00762,0.03913,-0.10123,-0.05621,-0.06362
2.03768,2.05330,0.01563,0.09921,0.47942,0.46181,0.01416,-0.01230,0.00982,-0.00461,-0.00767,-0.00284,-0.01138,0.00199,0.04511,-0.23338,-0.02638,0.00094,0.03746,0.03390,-0.03237,0.08077,-0.08185,0.04084,-0.12058,0.13909
1.96365,1.99969,0.06822,0.10106,0.46665,0.47314,-0.01926,0.09400,-0.03701,-0.00125,0.04195,0.00270,0.03307,0.00216,-0.05101,-0.02500,0.05839,0.04563,0.06906,0.08286,-0.07268,0.04200,0.06176,-0.11113,-0.07298,-0.05651
1.98400,2.01649,0.04641,0.07918,0.48690,0.46558,0.00982,0.06151,0.07454,0.01421,-0.04163,-0.06744,-0.02200,0.03207,0.15169,-0.13918,0.02251,0.02858,0.04542,0.02817,-0.09468,0.10066,0.00650,0.05810,-0.09314,0.09341
1.99266,2.01770,0.06522,0.10306,0.48694,0.46173,0.02022,0.08585,0.07603,0.01650,-0.03213,0.04117,0.00229,0.02370,-0.09353,-0.02283,0.05341,0.02887,0.05006,0.06104,-0.06419,0.08246,0.02234,-0.17658,-0.07228,0.02630
1.95444,2.00816,0.02834,0.06743,0.48430,0.47039,0.02848,0.02671,0.01642,-0.02906,-0.02466,-0.04213,0.02421,0.02193,0.04740,-0.09225,0.01241,0.03614,0.06681,0.05239,-0.00202,0.06947,0.01397,0.05534,-0.14136,0.05934
2.05056,2.03001,0.08002,0.04539,0.46882,0.46746,-0.07022,0.12150,-0.02317,0.03503,0.00011,-0.01230,-0.12438,0.08971,0.03181,-0.06805,0.06665,0.03888,0.06369,0.06764,0.00152,0.03411,0.00229,-0.09220,-0.00977,-0.01728
2.01627,2.02004,0.05251,0.04238,0.47337,0.45908,0.00175,0.05866,0.06028,-0.00395,0.00975,0.01287,-0.03876,0.02405,0.01082,-0.05359,0.03848,0.00870,0.04418,0.02027,0.02406,0.01663,-0.05388,-0.06805,0.01223,0.03113
1.98835,2.03612,0.06419,0.03939,0.46725,0.46231,-0.02804,0.08379,0.04304,0.01462,-0.01294,0.02994,-0.00494,0.06829,0.00404,-0.03095,0.03630,0.01252,0.03620,0.00185,0.04280,0.01642,-0.02383,-0.06701,0.01897,0.04649
2.00691,2.03950,0.07845,0.04271,0.47043,0.45922,-0.05934,0.10102,0.07929,0.05589,-0.00278,0.02393,-0.02377,0.11587,-0.02198,-0.04607,0.03924,0.01332,0.04412,-0.00378,0.05695,0.01807,-0.02492,-0.08058,0.02082,0.12894
1.96996,2.05170,0.03709,0.03203,0.47434,0.47884,0.05342,0.07347,-0.01079,-0.02571,-0.03332,-0.00114,-0.02128,-0.04506,0.00959,-0.04320,-0.01591,0.01459,0.01736,-0.00451,0.02909,-0.02366,-0.00686,-0.03669,-0.03350,0.00582
2.02846,2.01490,0.01239,0.12814,0.49283,0.45226,0.00735,-0.00459,-0.01047,0.01770,-0.01597,0.00821,0.01083,0.02351,-0.20072,-0.11097,0.06843,0.01507,0.04489,0.13538,-0.04035,0.12943,-0.02980,0.05025,-0.09859,0.00719
1.96895,2.02714,0.02017,0.05177,0.48704,0.46168,-0.01942,0.00595,-0.00916,0.03098,0.01117,-0.00836,0.03999,0.02833,-0.01640,-0.07136,0.04913,0.01882,0.04406,0.06532,-0.02685,0.05912,-0.04674,-0.01627,-0.05061,-0.03493
